id,transaction_id,transaction_reference,fee_type,amount,currency,payer_account_id,collector,status,created_at
29566,65511,TX20240514237576,TRF_FEE,50,MRU,9536,PLATFORM,COLLECTED,2024-05-14T06:22:12.818Z
29567,65514,TX20240806675976,PAY_FEE,66,MRU,8838,MERCHANT,COLLECTED,2024-08-06T08:04:35.258Z
29568,65515,TX20240726688709,TRF_FEE,25,MRU,5548,PLATFORM,COLLECTED,2024-07-26T12:54:27.297Z
29569,65517,TX20241221588965,WIT_FEE,50,MRU,8526,PLATFORM,COLLECTED,2024-12-21T11:40:44.586Z
29570,65522,TX20240429599999,PAY_FEE,15,MRU,4381,MERCHANT,COLLECTED,2024-04-29T07:57:09.193Z
29571,65528,TX20240102292914,WIT_FEE,50,MRU,439,PLATFORM,COLLECTED,2024-01-02T17:06:52.753Z
29572,65531,TX20240204430395,TRF_FEE,25,MRU,8080,PLATFORM,COLLECTED,2024-02-04T09:01:04.238Z
29573,65538,TX20240119643205,TRF_FEE,25,MRU,581,PLATFORM,COLLECTED,2024-01-19T17:29:31.532Z
29574,65542,TX20240910492183,PAY_FEE,15,MRU,528,MERCHANT,COLLECTED,2024-09-10T14:12:25.197Z
29575,65543,TX20241215774122,TRF_FEE,25,MRU,9673,PLATFORM,COLLECTED,2024-12-15T05:19:20.626Z
29576,65544,TX20240924309735,TRF_FEE,50,MRU,1932,PLATFORM,COLLECTED,2024-09-24T08:57:29.178Z
29577,65546,TX20240131021129,TRF_FEE,25,MRU,4660,PLATFORM,COLLECTED,2024-01-31T08:44:40.902Z
29578,65555,TX20240515450476,WIT_FEE,50,MRU,4351,PLATFORM,COLLECTED,2024-05-15T05:12:59.270Z
29579,65562,TX20241229141846,TRF_FEE,10,MRU,84,PLATFORM,COLLECTED,2024-12-29T20:41:30.635Z
29580,65563,TX20240815089712,PAY_FEE,59,MRU,1346,MERCHANT,COLLECTED,2024-08-15T07:41:33.263Z
29581,65564,TX20240902237828,PAY_FEE,72,MRU,5489,MERCHANT,COLLECTED,2024-09-02T10:03:18.110Z
29582,65565,TX20241126991334,TRF_FEE,50,MRU,4118,PLATFORM,COLLECTED,2024-11-26T10:27:16.654Z
29583,65567,TX20241224450687,PAY_FEE,72,MRU,7648,MERCHANT,COLLECTED,2024-12-24T13:06:57.110Z
29584,65569,TX20241211712267,PAY_FEE,69,MRU,3109,MERCHANT,COLLECTED,2024-12-11T17:01:02.858Z
29585,65570,TX20241220900301,WIT_FEE,50,MRU,8798,PLATFORM,COLLECTED,2024-12-20T12:03:28.790Z
29586,65576,TX20240503096609,TRF_FEE,50,MRU,311,PLATFORM,COLLECTED,2024-05-03T00:34:01.056Z
29587,65580,TX20240516903865,WIT_FEE,50,MRU,5053,PLATFORM,COLLECTED,2024-05-16T13:06:13.661Z
29588,65581,TX20241118093108,TRF_FEE,25,MRU,264,PLATFORM,COLLECTED,2024-11-18T09:45:26.064Z
29589,65582,TX20240129970902,TRF_FEE,25,MRU,8671,PLATFORM,COLLECTED,2024-01-29T17:29:35.122Z
29590,65583,TX20241031317731,TRF_FEE,50,MRU,9506,PLATFORM,COLLECTED,2024-10-31T17:38:43.469Z
29591,65584,TX20240908910920,PAY_FEE,33,MRU,442,MERCHANT,COLLECTED,2024-09-08T16:09:07.778Z
29592,65587,TX20240408472740,TRF_FEE,10,MRU,1205,PLATFORM,COLLECTED,2024-04-08T14:13:37.794Z
29593,65597,TX20240116089393,TRF_FEE,25,MRU,5819,PLATFORM,COLLECTED,2024-01-16T20:29:15.278Z
29594,65600,TX20241104248807,TRF_FEE,25,MRU,1762,PLATFORM,COLLECTED,2024-11-04T11:55:33.824Z
29595,65602,TX20240506119766,WIT_FEE,50,MRU,6091,PLATFORM,COLLECTED,2024-05-06T15:12:57.810Z
29596,65604,TX20241028083460,PAY_FEE,165,MRU,1327,MERCHANT,COLLECTED,2024-10-28T09:48:02.970Z
29597,65610,TX20241215384749,WIT_FEE,99,MRU,9059,PLATFORM,COLLECTED,2024-12-15T19:08:43.536Z
29598,65611,TX20241121391603,TRF_FEE,50,MRU,4852,PLATFORM,COLLECTED,2024-11-21T09:13:48.925Z
