id,reference,transaction_type,amount,fee,total_amount,currency,source_account_id,source_user_id,destination_account_id,destination_user_id,merchant_id,agency_id,status,failure_reason,source_node,processing_node,source_datacenter,processing_datacenter,is_cross_dc,transaction_date,transaction_time,created_at,completed_at
96494,TX20241108620063,PAY,8000,120,8120,MRU,2456,2252,,,127,,FAILED,INSUFFICIENT_BALANCE,NDB-NODE-2,NKC-NODE-3,DC-NDB,DC-NKC-SECONDARY,true,2024-11-08,12:28:05,2024-11-08T11:28:05.288Z,2024-11-08T11:28:05.288Z
96859,TX20241108823478,PAY,8000,120,8120,MRU,2456,2252,,,127,,FAILED,INSUFFICIENT_BALANCE,NKC-NODE-2,NKC-NODE-2,DC-NKC-PRIMARY,DC-NKC-PRIMARY,false,2024-11-08,12:28:05,2024-11-08T11:28:05.288Z,2024-11-08T11:28:05.288Z
97589,TX20241108784766,PAY,8000,120,8120,MRU,2456,2252,,,127,,FAILED,INSUFFICIENT_BALANCE,NDB-NODE-1,NDB-NODE-2,DC-NDB,DC-NDB,false,2024-11-08,12:28:05,2024-11-08T11:28:05.288Z,2024-11-08T11:28:05.288Z
97954,TX20241108573020,PAY,8000,120,8120,MRU,2456,2252,,,127,,FAILED,INSUFFICIENT_BALANCE,NDB-NODE-2,NKC-NODE-1,DC-NDB,DC-NKC-PRIMARY,true,2024-11-08,12:28:05,2024-11-08T11:28:05.288Z,2024-11-08T11:28:05.288Z
98680,TX20241108344245,PAY,8000,120,8120,MRU,2456,2252,,,127,,FAILED,INSUFFICIENT_BALANCE,NDB-NODE-2,NKC-NODE-1,DC-NDB,DC-NKC-PRIMARY,true,2024-11-08,12:28:05,2024-11-08T11:28:05.288Z,2024-11-08T11:28:05.288Z
99406,TX20241108228080,PAY,8000,120,8120,MRU,2456,2252,,,127,,FAILED,INSUFFICIENT_BALANCE,NDB-NODE-1,NKC-NODE-1,DC-NDB,DC-NKC-PRIMARY,true,2024-11-08,12:28:05,2024-11-08T11:28:05.288Z,2024-11-08T11:28:05.288Z
42736,TX20241108323496,DEP,77000,0,77000,MRU,10134,9201,,,,60,SUCCESS,,NKC-NODE-1,NDB-NODE-2,DC-NKC-PRIMARY,DC-NDB,true,2024-11-08,12:47:13,2024-11-08T11:47:13.260Z,2024-11-08T11:47:15.811Z
43138,TX20241108675021,DEP,77000,0,77000,MRU,10134,9201,,,,60,SUCCESS,,NKC-NODE-1,NKC-NODE-2,DC-NKC-PRIMARY,DC-NKC-PRIMARY,false,2024-11-08,12:47:13,2024-11-08T11:47:13.260Z,2024-11-08T11:47:14.546Z
65709,TX20241108623604,DEP,77000,0,77000,MRU,10134,9201,,,,60,SUCCESS,,NKC-NODE-1,NKC-NODE-3,DC-NKC-PRIMARY,DC-NKC-SECONDARY,true,2024-11-08,12:47:13,2024-11-08T11:47:13.260Z,2024-11-08T11:47:18.056Z
69340,TX20241108192452,DEP,77000,0,77000,MRU,10134,9201,,,,60,SUCCESS,,NKC-NODE-2,NKC-NODE-2,DC-NKC-PRIMARY,DC-NKC-PRIMARY,false,2024-11-08,12:47:13,2024-11-08T11:47:13.260Z,2024-11-08T11:47:16.202Z
